age,ax,bx,sex
0,-3.97484252504666,0.133274985828148,male
1,-7.65756663653249,0.259384485721818,male
5,-8.27478351748442,0.174552471144018,male
10,-7.94615421793126,0.097445696769388,male
15,-6.70761255374609,0.0227686781228303,male
20,-6.06814872312685,0.00258318141850301,male
25,-5.91135365188922,0.00887927284339153,male
30,-5.76469345952959,0.0166317733570969,male
35,-5.56272186660941,0.0199852147237947,male
40,-5.33813036988572,0.0258514604138548,male
45,-5.08893812899173,0.0232205945692291,male
50,-4.74481583077877,0.0243736552490554,male
55,-4.41427127696022,0.0205864673678649,male
60,-4.05581917415371,0.0261054106719868,male
65,-3.6845985877332,0.0276332055886938,male
70,-3.27948370195231,0.0330900431023731,male
75,-2.93596572886579,0.0264159190277005,male
80,-2.449010192839,0.0304059121138108,male
85,-1.83651941797537,0.0268115719664428,male
0,-4.15025239476574,0.0793152768831299,female
1,-7.624840631199,0.159962059680945,female
5,-8.42835163035232,0.111037220609458,female
10,-8.45761445598987,0.0726665613394836,female
15,-7.82450893698276,0.0658443429471222,female
20,-7.37423423605731,0.063301247339578,female
25,-7.07869146234874,0.0601329620451694,female
30,-6.79195210949959,0.0509498906541018,female
35,-6.46194146841124,0.0448738475998694,female
40,-6.18561761177595,0.0406295109574765,female
45,-5.85342650661556,0.0322171855406081,female
50,-5.45270096575697,0.0307552389551266,female
55,-5.0850981225498,0.0261362402201236,female
60,-4.64010693624038,0.0284146963519811,female
65,-4.19153145304662,0.0295295541129235,female
70,-3.69564865561608,0.0320510079009791,female
75,-3.28665771120067,0.0251191626009734,female
80,-2.70680514858345,0.0262171659343752,female
85,-1.97433648769184,0.0208468283265756,female
