age,sex,q_0025,q_0500,q_0975
0,female,-0.00217298554858522,0.000345416894910515,0.00359409068308453
0,male,-0.0051874531663681,0.00114002929749123,0.00750244652447577
1,female,-0.00817864144190517,-0.00074378675203593,0.00600312560689669
1,male,-0.0156979541667778,-0.00161169181369744,0.0138198471762448
5,female,-0.0110986380775751,-0.00163606309236661,0.00654302828885352
5,male,-0.0183057523491393,-0.00380344013581076,0.0148894634576911
10,female,-0.011612566431321,-0.00132860176124218,0.00707238077641946
10,male,-0.0183271013381381,-0.00160539194128367,0.0135814837951347
15,female,-0.00728352581479657,-0.000334901178499249,0.00716190111250324
15,male,-0.00928979801438645,0.000392822586607876,0.0104836948332706
20,female,-0.00626181138284395,-0.000357826731494738,0.00584746215593499
20,male,-0.00702599036628943,0.000299015454967858,0.00682140692367115
25,female,-0.00495814577047031,1.29973501395222e-06,0.00606894042349189
25,male,-0.00706736546862947,0.000404600804179641,0.00683789176894679
30,female,-0.00516708999933419,9.8314201956988e-05,0.00562348934542637
30,male,-0.00594641925143325,0.000273301155555419,0.00691398295857495
35,female,-0.00429669865122352,0.000125359474290973,0.00478849749474771
35,male,-0.00594475063791168,0.000485249903166308,0.00629290488629384
40,female,-0.00390661974391209,0.000416677733986182,0.00448673859049439
40,male,-0.00606499705873178,0.000394813766274911,0.00622183214931812
45,female,-0.00330473270180845,0.000318902606564985,0.00440288141190178
45,male,-0.00468235127648822,0.000349282099727901,0.00490632308950519
50,female,-0.0027288868429821,0.00041916427554531,0.00373349319240746
50,male,-0.00397313976508364,0.000398785245737311,0.00512876757925558
55,female,-0.00264433072827466,0.000472829290156691,0.00352519347635898
55,male,-0.00425943319633677,0.000415458632305353,0.00424981394303411
60,female,-0.00183990313015808,0.000424747723849489,0.00288866065533926
60,male,-0.00297749857288223,0.000496571046932863,0.00415148245832492
65,female,-0.00187621919750823,0.000640673545240065,0.00246931245194549
65,male,-0.00301056953099598,0.000494280783049474,0.00409583757277187
70,female,-0.0015943791851229,0.000344597728464263,0.00261288998399066
70,male,-0.00252229407796578,0.000572473999431864,0.00400305982086984
75,female,-0.00152644714056283,0.000379626779034813,0.00216537843797759
75,male,-0.00268568822271854,0.000438466805271934,0.00386136673096519
80,female,-0.00133719377726196,0.000426490600205817,0.00210491395574884
80,male,-0.00292372922050485,0.000466134112981985,0.00358196605997168
85,female,-0.000936703714361899,0.000285289772095621,0.00153708423025395
85,male,-0.00210771194675447,0.000443694363499099,0.00315573906159041
