sex,year,kt
male,1950,11.4704613194249
male,1951,11.5476572810923
male,1952,11.0293930278804
male,1953,10.0871109503093
male,1954,9.24203596802084
male,1955,8.50113404254267
male,1956,8.38377034049462
male,1957,7.68201765867775
male,1958,7.8766426834859
male,1959,7.40536439427064
male,1960,6.86904828014666
male,1961,6.6528798136221
male,1962,6.82378117332917
male,1963,7.00634909127228
male,1964,7.8978722274145
male,1965,6.67607838012107
male,1966,5.41945955520281
male,1967,4.77981755850386
male,1968,4.39668982702666
male,1969,4.08128883817685
male,1970,4.18225486236321
male,1971,3.6540570429359
male,1972,3.92315539084148
male,1973,3.24004384906204
male,1974,2.7150448655845
male,1975,2.28151168192541
male,1976,2.43559204357538
male,1977,2.14608963791548
male,1978,1.7280593352666
male,1979,1.78930892788555
male,1980,1.41886457690204
male,1981,1.52167246205567
male,1982,0.687988500715414
male,1983,0.474708714015934
male,1984,-0.239491097098675
male,1985,0.511374288249592
male,1986,0.0928254516524539
male,1987,0.144259360260425
male,1988,0.311593532707622
male,1989,0.801866300636004
male,1990,0.614251050016871
male,1991,0.279795283870593
male,1992,0.54494631110369
male,1993,0.757059650128551
male,1994,-0.0067033729381447
male,1995,1.02736091020392
male,1996,0.0625334838718182
male,1997,-0.792888662110151
male,1998,-0.652778184915706
male,1999,-1.77605029653797
male,2000,-2.85612786305855
male,2001,-2.82162519141808
male,2002,-4.30602466303474
male,2003,-4.8205156328762
male,2004,-4.78943405412128
male,2005,-4.77290286226409
male,2006,-6.5169728578299
male,2007,-6.1982249376176
male,2008,-7.03783005783115
male,2009,-7.01389290939143
male,2010,-8.13255225532803
male,2011,-8.03882431868756
male,2012,-8.9932589169286
male,2013,-10.472821622419
male,2014,-9.97474911936748
male,2015,-13.2140539488819
male,2016,-12.4801676917533
male,2017,-11.687552541106
male,2018,-14.2803147652102
male,2019,-14.8124846853762
male,2020,-12.3905890397438
male,2021,-12.0962383769157
female,1950,19.5593653856271
female,1951,19.903703486851
female,1952,18.4223441038117
female,1953,16.6144497073943
female,1954,15.0777695439014
female,1955,14.2564248460339
female,1956,13.9103556652249
female,1957,12.5423588095398
female,1958,12.4054779594948
female,1959,11.5599689549568
female,1960,11.1422314513331
female,1961,10.7495534373287
female,1962,10.2978293645078
female,1963,10.3371064757437
female,1964,11.5723051080662
female,1965,9.74537496861978
female,1966,7.97783157123513
female,1967,6.98723180692947
female,1968,5.9298201162605
female,1969,5.97895121676174
female,1970,5.69471854840035
female,1971,5.03626041359988
female,1972,5.2969589365185
female,1973,4.13351147582044
female,1974,4.12421212811155
female,1975,2.0211198842513
female,1976,2.29485483438454
female,1977,2.12137452575774
female,1978,1.25989327579468
female,1979,1.22736663481742
female,1980,0.707038584147211
female,1981,0.451161720027398
female,1982,0.65614853168359
female,1983,-0.514815176550693
female,1984,-0.620509374425109
female,1985,-0.439062329162788
female,1986,-0.989203828935771
female,1987,-1.06488768545662
female,1988,-0.680787781632555
female,1989,-0.204433932819038
female,1990,-0.704946337339612
female,1991,-1.56473298996929
female,1992,-1.15025948264382
female,1993,-0.572848151076697
female,1994,-1.66641907116278
female,1995,-0.658959569200981
female,1996,-1.21027066484694
female,1997,-2.55972867047903
female,1998,-2.75174483723779
female,1999,-3.71384689334698
female,2000,-4.87682719037227
female,2001,-5.48737748372625
female,2002,-7.12817118609491
female,2003,-7.09044259762113
female,2004,-7.06048555837813
female,2005,-6.99364182299088
female,2006,-9.11935956917676
female,2007,-8.62696106284585
female,2008,-9.36537787236553
female,2009,-10.4100937652689
female,2010,-10.63670983507
female,2011,-10.7558753174419
female,2012,-11.6641897521406
female,2013,-13.6932213815703
female,2014,-13.3294726116249
female,2015,-16.5945235218554
female,2016,-15.9398737621001
female,2017,-15.9234813873293
female,2018,-19.3284551172156
female,2019,-19.5936879890688
female,2020,-17.5684916727152
female,2021,-17.7408962396773
